stadium,home_team,avg_wind,wind_vol,orient,wind_impact,weakest_wind_effect,game_loc,year_built,home_temp,first_seen_sha,first_seen_date,last_seen_sha,last_seen_date
Acrisure Stadium,pittsburgh,5.27,mid,NW-SE,med,x N/W,"40.4468, -80.0158",2001,54.03,30584f0,2024-09-19,320ad45,2026-01-12
Arrowhead Stadium,kansas city,10.48,mid,NW-SE,med,E/W,"39.049, -94.4839",1972,56.33,de2e51f,2024-09-30,68a43fc,2025-12-29
Bank of America Stadium,carolina,6.13,mid,NW-SE,med,all,"35.2251, -80.8529",1996,61.66,7bd533b,2024-09-24,320ad45,2026-01-12
Empower Field at Mile High,denver,8.37,high,N-S,low,x N,"39.7439, -105.0201",2001,50.26,de2e51f,2024-09-30,e2ef4b2,2026-01-25
FedExField,washington,9.08,mid,E-W,low,all,"38.9078, -76.8645",1997,57.08,de2e51f,2024-09-30,68a43fc,2025-12-29
FirstEnergy Stadium,cleveland,11.73,high,E-W,low,all,"41.5061, -81.6995",1999,52.55,30584f0,2024-09-19,68a43fc,2025-12-29
Gillette Stadium,new england,6.23,high,N-S,med,x S,"42.0909, -71.2643",2002,51.74,de2e51f,2024-09-30,765dfb6,2026-04-15
Hard Rock Stadium,miami,11.49,high,NW-SE,low,all,"25.958, -80.2389",1987,75.59,7bd533b,2024-09-24,68a43fc,2025-12-29
Highmark Stadium,buffalo,8.5,high,NW-SE,med,all,"42.7738, -78.7868",1973,50.37,30584f0,2024-09-19,4f1fbbd,2026-01-04
Lambeau Field,green bay,12.55,high,N-S,med,all,"44.5013, -88.0622",1957,47.43,7bd533b,2024-09-24,68a43fc,2025-12-29
Levi's Stadium,san francisco,8.05,low,NW-SE,low,E/W,"37.403, -121.97",2014,59.94,7bd533b,2024-09-24,4f1fbbd,2026-01-04
Lincoln Financial Field,philadelphia,7.81,mid,N-S,low,E/W,"39.9008, -75.1675",2003,56.61,0ccedfc,2024-10-07,320ad45,2026-01-12
Lucas Oil Stadium,indianapolis,0.0,mid,NE,,,"39.7601, -86.1637",2008,54.31,7fa5110,2025-11-04,a93bd25,2025-11-10
Lumen Field,seattle,4.58,high,N-S,low,E/W,"47.5952, -122.3316",2002,52.12,30584f0,2024-09-19,e2ef4b2,2026-01-25
M&T Bank Stadium,baltimore,9.41,mid,E-W,low,all,"39.2779, -76.6227",1998,57.04,7bd533b,2024-09-24,1d6ec0e,2025-12-22
MetLife Stadium,n.y. giants,7.54,high,N-S,low,all,"40.8135, -74.0745",2010,54.96,7bd533b,2024-09-24,4f1fbbd,2026-01-04
MetLife Stadium,n.y. jets,7.54,mid,N-S,low,all,"40.8135, -74.0745",2010,54.96,30584f0,2024-09-19,68a43fc,2025-12-29
Nissan Stadium,tennessee,7.58,mid,N-S,med,E/W,"36.1664, -86.7713",1999,60.22,30584f0,2024-09-19,68a43fc,2025-12-29
Paycor Stadium,cincinnati,6.98,low,NW-SE,med,"S/E,N/W","39.0955, -84.5161",2000,56.3,30584f0,2024-09-19,4f1fbbd,2026-01-04
Raymond James Stadium,tampa bay,9.23,very high,N-S,low,E/W,"27.9759, -82.5033",1998,72.89,30584f0,2024-09-19,4f1fbbd,2026-01-04
SoFi Stadium,l.a. chargers,0.0,mid,E,,,"33.9535, -118.3391",2020,61.89,7bd533b,2024-09-24,68a43fc,2025-12-29
SoFi Stadium,l.a. rams,0.0,mid,E,,,"33.9535, -118.3391",2020,61.89,30584f0,2024-09-19,4f1fbbd,2026-01-04
Soldier Field,chicago,13.02,very high,N-S,med,E/W,"41.8623, -87.6169",1924,51.08,7bd533b,2024-09-24,aa76b0a,2026-01-14
TIAA Bank Field,jacksonville,7.15,high,N-S,med,all,"30.324, -81.6375",1995,69.97,de2e51f,2024-09-30,320ad45,2026-01-12
U.S. Bank Stadium,minnesota,0.0,mid,E,,,"44.974, -93.2581",2016,46.12,de2e51f,2024-09-30,495fcb4,2025-09-19
