team,avg_temp,first_seen_sha,first_seen_date,last_seen_sha,last_seen_date
arizona,74.57,de2e51f,2024-09-30,4f1fbbd,2026-01-04
atlanta,61.52,0ccedfc,2024-10-07,32fb058,2025-12-15
baltimore,57.04,7bd533b,2024-09-24,4f1fbbd,2026-01-04
buffalo,50.37,30584f0,2024-09-19,aa76b0a,2026-01-14
carolina,61.66,7bd533b,2024-09-24,320ad45,2026-01-12
chicago,51.08,7bd533b,2024-09-24,aa76b0a,2026-01-14
cincinnati,56.3,30584f0,2024-09-19,4f1fbbd,2026-01-04
cleveland,52.55,30584f0,2024-09-19,4f1fbbd,2026-01-04
dallas,67.18,7bd533b,2024-09-24,4f1fbbd,2026-01-04
denver,50.26,30584f0,2024-09-19,e2ef4b2,2026-01-25
detroit,51.16,dc87978,2024-10-28,4f1fbbd,2026-01-04
green bay,47.43,30584f0,2024-09-19,320ad45,2026-01-12
houston,69.99,0ccedfc,2024-10-07,aa76b0a,2026-01-14
indianapolis,54.31,de2e51f,2024-09-30,32fb058,2025-12-15
jacksonville,69.97,30584f0,2024-09-19,320ad45,2026-01-12
kansas city,56.33,7bd533b,2024-09-24,68a43fc,2025-12-29
l.a. chargers,61.89,30584f0,2024-09-19,320ad45,2026-01-12
l.a. rams,61.89,30584f0,2024-09-19,e2ef4b2,2026-01-25
las vegas,70.29,de2e51f,2024-09-30,32fb058,2025-12-15
miami,75.59,30584f0,2024-09-19,4f1fbbd,2026-01-04
minnesota,46.12,7bd533b,2024-09-24,1d6ec0e,2025-12-22
n.y. giants,54.96,30584f0,2024-09-19,4f1fbbd,2026-01-04
n.y. jets,54.96,30584f0,2024-09-19,4f1fbbd,2026-01-04
new england,51.74,30584f0,2024-09-19,765dfb6,2026-04-15
new orleans,69.48,de2e51f,2024-09-30,68a43fc,2025-12-29
philadelphia,56.61,7bd533b,2024-09-24,320ad45,2026-01-12
pittsburgh,54.03,30584f0,2024-09-19,320ad45,2026-01-12
san francisco,59.94,30584f0,2024-09-19,aa76b0a,2026-01-14
seattle,52.12,30584f0,2024-09-19,765dfb6,2026-04-15
tampa bay,72.89,30584f0,2024-09-19,4f1fbbd,2026-01-04
tennessee,60.22,30584f0,2024-09-19,4f1fbbd,2026-01-04
washington,57.08,30584f0,2024-09-19,4f1fbbd,2026-01-04
