stadium_id,name,aliases,city,state,country,lat,lon,elevation_m,timezone,orientation_deg,orientation_bucket,orientation_src,roof_type,surface,capacity,year_built,avg_wind_static,wind_vol_static,wind_impact_static,weakest_wind_effect,avg_wind_sep,avg_wind_oct,avg_wind_nov,avg_wind_dec,avg_wind_jan,avg_temp_f,wikidata_qid,osm_way_id,cfbd_venue_id,espn_venue_id,nflverse_stadium_id,needs_review,elev_src,latlon_src,review_note
state-farm-stadium,State Farm Stadium,,Glendale,AZ,US,33.527801,-112.262684,328.7,America/Phoenix,147,NW-SE,osm_stadium_mrr,retractable,grass,63400,2006,,,,,5.18,4.79,4.37,3.87,4.3,75.01,Q756433,relation/7370103,,,PHO00,0,epqs,osm_stadium_mrr,
mercedes-benz-stadium,Mercedes-Benz Stadium,,Atlanta,GA,US,33.755415,-84.400848,310.1,America/New_York,68.6,E-W,osm_stadium_mrr,retractable,fieldturf,71000,2017,,,,,6.09,7.06,7.57,7.96,8.64,62.4,Q1058931,way/536744534,,,ATL97,0,epqs,osm_stadium_mrr,
mt-bank-stadium,M&T Bank Stadium,,Baltimore,MD,US,39.277971,-76.622703,2.9,America/New_York,110.1,E-W,osm_pitch,open,grass,71008,1998,9.41,mid,low,all,6.74,7.4,7.66,7.3,8.43,57.04,Q1141336,way/172620322,,,BAL00,0,epqs,osm_pitch,
highmark-stadium,Highmark Stadium,New Era Field|Bills Stadium|Ralph Wilson Stadium,Orchard Park,NY,US,42.773045,-78.792195,219.4,America/New_York,169.4,N-S,osm_stadium_mrr,open,a_turf,71608,1973,8.5,high,med,all,7.57,9.32,10.64,10.68,10.75,50.37,Q1475645,way/1339149058,,,BUF00,0,epqs,osm_stadium_mrr,
bank-of-america-stadium,Bank of America Stadium,,Charlotte,NC,US,35.225833,-80.852844,215.8,America/New_York,139.9,NW-SE,osm_pitch,open,grass,73778,1996,6.13,mid,med,all,6.14,6.32,6.57,6.79,7.32,61.66,Q806673,way/187011790,,,CAR00,0,epqs,osm_pitch,
soldier-field,Soldier Field,,Chicago,IL,US,41.862321,-87.616705,178.5,America/Chicago,175.8,N-S,osm_pitch,open,grass,63500,1924,13.02,very high,med,E/W,9.65,11.36,11.51,10.99,11.28,51.08,Q1132413,way/91535224,,,CHI98,0,epqs,osm_pitch,
paycor-stadium,Paycor Stadium,Paul Brown Stadium,Cincinnati,OH,US,39.095425,-84.516082,146.4,America/New_York,141,NW-SE,osm_pitch,open,fieldturf,65515,2000,6.98,low,med,"S/E,N/W",5.6,6.88,7.25,7.44,7.78,56.3,Q1632294,way/32946979,,,CIN00,0,epqs,osm_pitch,
huntington-bank-field,Huntington Bank Field,FirstEnergy Stadium|Cleveland Browns Stadium,Cleveland,OH,US,41.506028,-81.699577,177.8,America/New_York,55.9,NE-SW,osm_pitch,open,grass,71516,1999,11.73,high,low,all,8.56,10.8,12.01,11.78,11.97,52.55,Q1100756,way/172658198,,,CLE00,0,epqs,osm_pitch,
att-stadium,AT&T Stadium,,Arlington,TX,US,32.74784,-97.092836,172.8,America/Chicago,68.8,E-W,osm_pitch,retractable,matrixturf,80000,2009,,,,,7.12,8.84,8.72,8.59,9.26,67.49,Q838284,way/126705643,,,DAL00,0,epqs,osm_pitch,
empower-field-at-mile-high,Empower Field at Mile High,,Denver,CO,US,39.743942,-105.020107,1583.5,America/Denver,0.2,N-S,osm_pitch,open,grass,76125,2001,8.37,high,low,x N,5.05,5.37,5.24,5.17,5.41,50.26,Q1046135,way/72605220,,,DEN00,0,epqs,osm_pitch,
ford-field,Ford Field,,Detroit,MI,US,42.339968,-83.045648,183.9,America/Detroit,63.8,NE-SW,osm_stadium_mrr,dome,fieldturf,65000,2002,0,,,,,,,,,50.96,Q1142586,way/110555613,,,DET00,0,epqs,osm_stadium_mrr,
lambeau-field,Lambeau Field,,Green Bay,WI,US,44.501333,-88.06222,188.9,America/Chicago,179.8,N-S,osm_pitch,open,grass,80750,1957,12.55,high,med,all,7.56,8.67,8.79,8.36,7.95,47.43,Q860790,way/145797338,,,GNB00,0,epqs,osm_pitch,
nrg-stadium,NRG Stadium,Reliant Stadium,Houston,TX,US,29.684857,-95.410802,15.2,America/Chicago,179.3,N-S,osm_stadium_mrr,retractable,astroturf,72220,2002,,,,,6.16,7.54,7.75,8.16,8.71,70.25,Q1058864,way/119422708,,,HOU00,0,epqs,osm_stadium_mrr,
lucas-oil-stadium,Lucas Oil Stadium,,Indianapolis,IN,US,39.760072,-86.163808,216.2,America/Indiana/Indianapolis,25.7,NE-SW,osm_stadium_mrr,retractable,fieldturf,62421,2008,0,mid,,,6.31,7.81,8.01,8.09,8.36,54.31,Q867160,way/27258709,,,IND00,0,epqs,osm_stadium_mrr,
everbank-stadium,EverBank Stadium,TIAA Bank Field|TIAA Bank Stadium|Tottenham Hotspur Stadium,Jacksonville,FL,US,30.32391,-81.63734,1.4,America/New_York,15.8,N-S,osm_pitch,open,grass,67246,1995,7.15,high,med,all,6.69,7.53,7.57,7.38,7.85,69.97,Q635117,way/172665883,,,JAX00,0,epqs,osm_pitch,
geha-field-at-arrowhead-stadium,GEHA Field at Arrowhead Stadium,Arrowhead Stadium,Kansas City,MO,US,39.04893,-94.483999,270.1,America/Chicago,137,NW-SE,osm_pitch,open,grass,76416,1972,10.48,mid,med,E/W,7.04,8.24,8.21,8.18,8.01,56.33,Q544553,way/65960009,,,KAN00,0,epqs,osm_pitch,
sofi-stadium,SoFi Stadium,,Inglewood,CA,US,33.953402,-118.339005,36.7,America/Los_Angeles,152.9,NW-SE,osm_stadium_mrr,dome,matrixturf,70240,2020,0,mid,,,,,,,,61.89,Q19520501,way/860635712,,,LAX01,0,epqs,osm_stadium_mrr,
allegiant-stadium,Allegiant Stadium,,Las Vegas,NV,US,36.090733,-115.183332,664.7,America/Los_Angeles,17.7,N-S,osm_stadium_mrr,dome,grass,65000,2020,0,,,,,,,,,70.02,Q27768421,way/691478555,6501,,VEG00,0,epqs,osm_stadium_mrr,
hard-rock-stadium,Hard Rock Stadium,,Miami Gardens,FL,US,25.957921,-80.238837,2.6,America/New_York,121.5,NW-SE,osm_stadium_mrr,open,grass,65326,1987,11.49,high,low,all,5.5,7.48,7.45,7.48,8.04,75.59,Q864339,way/171419981,3948,,MIA00,0,epqs,osm_stadium_mrr,
us-bank-stadium,U.S. Bank Stadium,,Minneapolis,MN,US,44.973596,-93.25752,255.7,America/Chicago,131.1,NW-SE,osm_stadium_mrr,dome,sportturf,70000,2016,0,mid,,,,,,,,46.12,Q7929512,way/743461508,,,MIN01,0,epqs,osm_stadium_mrr,
gillette-stadium,Gillette Stadium,,Foxborough,MA,US,42.090926,-71.264354,79.4,America/New_York,162.4,N-S,osm_pitch,open,fieldturf,68756,2002,6.23,high,med,x S,6.79,7.41,7.97,7.84,8.36,51.74,Q373355,way/129176835,,,BOS00,0,epqs,osm_pitch,
caesars-superdome,Caesars Superdome,Mercedes-Benz Superdome|Superdome,New Orleans,LA,US,29.951052,-90.081088,0.5,America/Chicago,22.6,NE-SW,osm_stadium_mrr,dome,sportturf,73000,1975,0,,,,,,,,,70.3,Q756452,relation/4598860,,,NOR00,0,epqs,osm_stadium_mrr,
metlife-stadium,MetLife Stadium,,East Rutherford,NJ,US,40.813523,-74.074348,1.9,America/New_York,167.9,N-S,osm_stadium_mrr,open,fieldturf,82500,2010,7.54,high,low,all,7.1,7.93,8.15,7.95,8.89,54.96,Q10862290,way/24221553,,,NYC01,0,epqs,osm_stadium_mrr,
lincoln-financial-field,Lincoln Financial Field,,Philadelphia,PA,US,39.900799,-75.167459,3.3,America/New_York,171.3,N-S,osm_pitch,open,grass,68532,2003,7.81,mid,low,E/W,6.4,7.11,7.44,7.15,8.02,56.61,Q1052370,way/708050530,3806,,PHI00,0,epqs,osm_pitch,
