team_id,sport,name,short,home_stadium_id,avg_temp_f,conference,classification,aliases
ari,nfl,Arizona Cardinals,ARI,state-farm-stadium,74.57,,nfl,ARI|Arizona Cardinals|arizona|Cardinals|Arizona|arizona cardinals|ARZ|Ari
atl,nfl,Atlanta Falcons,ATL,mercedes-benz-stadium,61.52,,nfl,ATL|Atlanta Falcons|atlanta|Falcons|Atlanta|atlanta falcons
bal,nfl,Baltimore Ravens,BAL,mt-bank-stadium,57.04,,nfl,BAL|Baltimore Ravens|baltimore|Ravens|Baltimore|baltimore ravens|BLT
buf,nfl,Buffalo Bills,BUF,highmark-stadium,50.37,,nfl,BUF|Buffalo Bills|buffalo|Bills|Buffalo|buffalo bills
car,nfl,Carolina Panthers,CAR,bank-of-america-stadium,61.66,,nfl,CAR|Carolina Panthers|carolina|Panthers|Carolina|carolina panthers
chi,nfl,Chicago Bears,CHI,soldier-field,51.08,,nfl,CHI|Chicago Bears|chicago|Bears|Chicago|chicago bears
cin,nfl,Cincinnati Bengals,CIN,paycor-stadium,56.3,,nfl,CIN|Cincinnati Bengals|cincinnati|Bengals|Cincinnati|cincinnati bengals
cle,nfl,Cleveland Browns,CLE,huntington-bank-field,52.55,,nfl,CLE|Cleveland Browns|cleveland|Browns|Cleveland|cleveland browns|CLV
dal,nfl,Dallas Cowboys,DAL,att-stadium,67.18,,nfl,DAL|Dallas Cowboys|dallas|Cowboys|Dallas|dallas cowboys
den,nfl,Denver Broncos,DEN,empower-field-at-mile-high,50.26,,nfl,DEN|Denver Broncos|denver|Broncos|Denver|denver broncos
det,nfl,Detroit Lions,DET,ford-field,51.16,,nfl,DET|Detroit Lions|detroit|Lions|Detroit|detroit lions
gb,nfl,Green Bay Packers,GB,lambeau-field,47.43,,nfl,GB|Green Bay Packers|green bay|Packers|Green Bay|green bay packers|GNB
hou,nfl,Houston Texans,HOU,nrg-stadium,69.99,,nfl,HOU|Houston Texans|houston|Texans|Houston|houston texans
ind,nfl,Indianapolis Colts,IND,lucas-oil-stadium,54.31,,nfl,IND|Indianapolis Colts|indianapolis|Colts|Indianapolis|indianapolis colts
jax,nfl,Jacksonville Jaguars,JAX,everbank-stadium,69.97,,nfl,JAX|Jacksonville Jaguars|jacksonville|Jaguars|Jacksonville|jacksonville jaguars|JAC
kc,nfl,Kansas City Chiefs,KC,geha-field-at-arrowhead-stadium,56.33,,nfl,KC|Kansas City Chiefs|kansas city|Chiefs|Kansas City|kansas city chiefs|KAN
la,nfl,Los Angeles Rams,LA,sofi-stadium,61.89,,nfl,LA|Los Angeles Rams|l.a. rams|Rams|Los Angeles|los angeles|l.a. rams rams|LAR|LA Rams|Los Angeles R
lac,nfl,Los Angeles Chargers,LAC,sofi-stadium,61.89,,nfl,LAC|Los Angeles Chargers|l.a. chargers|Chargers|Los Angeles|los angeles|l.a. chargers chargers|LA Chargers|Los Angeles C|SD
lv,nfl,Las Vegas Raiders,LV,allegiant-stadium,70.29,,nfl,LV|Las Vegas Raiders|las vegas|Raiders|Las Vegas|las vegas raiders|LVR|OAK|Oakland
mia,nfl,Miami Dolphins,MIA,hard-rock-stadium,75.59,,nfl,MIA|Miami Dolphins|miami|Dolphins|Miami|miami dolphins
min,nfl,Minnesota Vikings,MIN,us-bank-stadium,46.12,,nfl,MIN|Minnesota Vikings|minnesota|Vikings|Minnesota|minnesota vikings
ne,nfl,New England Patriots,NE,gillette-stadium,51.74,,nfl,NE|New England Patriots|new england|Patriots|New England|new england patriots|NWE
no,nfl,New Orleans Saints,NO,caesars-superdome,69.48,,nfl,NO|New Orleans Saints|new orleans|Saints|New Orleans|new orleans saints|NOR
nyg,nfl,New York Giants,NYG,metlife-stadium,54.96,,nfl,NYG|New York Giants|n.y. giants|Giants|New York|new york|n.y. giants giants|NY Giants|New York G|ny giants
nyj,nfl,New York Jets,NYJ,metlife-stadium,54.96,,nfl,NYJ|New York Jets|n.y. jets|Jets|New York|new york|n.y. jets jets|NY Jets|New York J|ny jets
phi,nfl,Philadelphia Eagles,PHI,lincoln-financial-field,56.61,,nfl,PHI|Philadelphia Eagles|philadelphia|Eagles|Philadelphia|philadelphia eagles
pit,nfl,Pittsburgh Steelers,PIT,acrisure-stadium,54.03,,nfl,PIT|Pittsburgh Steelers|pittsburgh|Steelers|Pittsburgh|pittsburgh steelers
sea,nfl,Seattle Seahawks,SEA,lumen-field,52.12,,nfl,SEA|Seattle Seahawks|seattle|Seahawks|Seattle|seattle seahawks
sf,nfl,San Francisco 49ers,SF,levis-stadium,59.94,,nfl,SF|San Francisco 49ers|san francisco|49ers|San Francisco|san francisco 49ers|SFO
tb,nfl,Tampa Bay Buccaneers,TB,raymond-james-stadium,72.89,,nfl,TB|Tampa Bay Buccaneers|tampa bay|Buccaneers|Tampa Bay|tampa bay buccaneers|TAM|Bucs
ten,nfl,Tennessee Titans,TEN,nissan-stadium,60.22,,nfl,TEN|Tennessee Titans|tennessee|Titans|Tennessee|tennessee titans
was,nfl,Washington Commanders,WAS,northwest-stadium,57.08,,nfl,WAS|Washington Commanders|washington|Commanders|Washington|washington commanders|WSH|Redskins|Football Team
air-force,cfb,Air Force,AFA,falcon-stadium,46.59,Mountain West,fbs,Air Force|AFA|Air Force Falcons
akron,cfb,Akron,AKR,summa-field-at-infocision-stadium,52.03,Mid-American,fbs,Akron|AKR|Akron Zips
alabama,cfb,Alabama,ALA,bryant-denny-stadium,64.71,SEC,fbs,Alabama|ALA|Alabama Crimson Tide
appalachian-state,cfb,Appalachian State,APP,kidd-brewer-stadium,52.4,Sun Belt,fbs,Appalachian State|APP|Appalachian St|Appalachian State Mountaineers|App State
arizona,cfb,Arizona,ARIZ,arizona-stadium,70.84,Big 12,fbs,Arizona|ARIZ|Arizona Wildcats
arizona-state,cfb,Arizona State,ASU,sun-devil-stadium,74.52,Big 12,fbs,Arizona State|ASU|Arizona State Sun Devils
arkansas,cfb,Arkansas,ARK,donald-w-reynolds-razorback-stadium-frank-broyles-field,59.28,SEC,fbs,Arkansas|ARK|Arkansas Razorbacks
arkansas-state,cfb,Arkansas State,ARST,centennial-bank-stadium,61.67,Sun Belt,fbs,Arkansas State|ARST|Arkansas State Red Wolves
army,cfb,Army,ARMY,blaik-field-at-michie-stadium,52.74,American Athletic,fbs,Army|ARMY|Army Black Knights|Army West Point
auburn,cfb,Auburn,AUB,jordan-hare-stadium,64.57,SEC,fbs,Auburn|AUB|Auburn Tigers
ball-state,cfb,Ball State,BALL,scheumann-stadium,53.09,Mid-American,fbs,Ball State|BALL|Ball State Cardinals
baylor,cfb,Baylor,BAY,mclane-stadium,69.9,Big 12,fbs,Baylor|BAY|Baylor Bears
boise-state,cfb,Boise State,BSU,albertsons-stadium,53.65,Mountain West,fbs,Boise State|BSU|Boise State Broncos
boston-college,cfb,Boston College,BC,alumni-stadium,51.83,ACC,fbs,Boston College|BC|Boston College Eagles
bowling-green,cfb,Bowling Green,BGSU,doyt-perry-stadium,52.81,Mid-American,fbs,Bowling Green|BGSU|Bowling Green State|Bowling Green Falcons
brigham-young,cfb,Brigham Young,BYU,lavell-edwards-stadium,50.27,Big 12,fbs,Brigham Young|BYU|Brigham Young Cougars|BYU Cougars
buffalo,cfb,Buffalo,BUFF,ub-stadium,50.07,Mid-American,fbs,Buffalo|BUFF|Buffalo Bulls
california,cfb,California,CAL,california-memorial-stadium,55.4,ACC,fbs,California|CAL|Cal|California Golden Bears
central-michigan,cfb,Central Michigan,CMU,kelly-shorts-stadium,49.01,Mid-American,fbs,Central Michigan|CMU|Cent Michigan|Central Michigan Chippewas
charlotte,cfb,Charlotte,CHAR,jerry-richardson-stadium,62.01,American Athletic,fbs,Charlotte|CHAR|Charlotte 49ers
cincinnati,cfb,Cincinnati,CIN,nippert-stadium,55.56,Big 12,fbs,Cincinnati|CIN|Cincinnati Bearcats
clemson,cfb,Clemson,CLEM,memorial-stadium,62.07,ACC,fbs,Clemson|CLEM|Clemson Tigers
coastal-carolina,cfb,Coastal Carolina,CCU,brooks-stadium,64.85,Sun Belt,fbs,Coastal Carolina|CCU|C. Carolina|Coastal Carolina Chanticleers
colorado,cfb,Colorado,COLO,folsom-field,48.46,Big 12,fbs,Colorado|COLO|Colorado Buffaloes
colorado-state,cfb,Colorado State,CSU,canvas-stadium,48.81,Mountain West,fbs,Colorado State|CSU|Colorado State Rams
connecticut,cfb,Connecticut,CONN,rentschler-field,52.92,FBS Independents,fbs,Connecticut|CONN|UConn|Connecticut Huskies|Uconn
duke,cfb,Duke,DUKE,wallace-wade-stadium,61.08,ACC,fbs,Duke|DUKE|Duke Blue Devils
east-carolina,cfb,East Carolina,ECU,dowdy-ficklen-stadium,62.47,American Athletic,fbs,East Carolina|ECU|East Carolina Pirates
eastern-michigan,cfb,Eastern Michigan,EMU,rynearson-stadium,50.72,Mid-American,fbs,Eastern Michigan|EMU|E Michigan|Eastern Michigan Eagles
florida,cfb,Florida,FLA,ben-hill-griffin-stadium,69.87,SEC,fbs,Florida|FLA|Florida Gators
florida-atlantic,cfb,Florida Atlantic,FAU,fau-stadium,75.77,American Athletic,fbs,Florida Atlantic|FAU|Florida Atlantic Owls
florida-international,cfb,Florida International,FIU,fiu-stadium,75.61,Conference USA,fbs,Florida International|FIU|Florida Intl|Florida International Golden Panthers|Fla International
florida-state,cfb,Florida State,FSU,bobby-bowden-field-at-doak-campbell-stadium,68.4,ACC,fbs,Florida State|FSU|Florida State Seminoles
fresno-state,cfb,Fresno State,FRES,bulldog-stadium,65.69,Mountain West,fbs,Fresno State|FRES|Fresno State Bulldogs
georgia,cfb,Georgia,UGA,sanford-stadium,62.9,SEC,fbs,Georgia|UGA|Georgia Bulldogs
georgia-southern,cfb,Georgia Southern,GASO,paulson-stadium,66.7,Sun Belt,fbs,Georgia Southern|GASO|Ga Southern|Georgia Southern Eagles
georgia-state,cfb,Georgia State,GAST,georgia-state-stadium,62.14,Sun Belt,fbs,Georgia State|GAST|Georgia State Panthers
georgia-tech,cfb,Georgia Tech,GT,bobby-dodd-stadium-at-historic-grant-field,62.01,ACC,fbs,Georgia Tech|GT|Georgia Tech Yellow Jackets
hawaii,cfb,Hawaii,HAW,clarence-tc-ching-athletics-complex,75.33,Mountain West,fbs,Hawaii|HAW|Hawai'i|Hawaii Rainbow Warriors
houston,cfb,Houston,HOU,john-oquinn-field-at-tdecu-stadium,70.3,Big 12,fbs,Houston|HOU|Houston Cougars
illinois,cfb,Illinois,ILL,memorial-stadium-champaign,53.84,Big Ten,fbs,Illinois|ILL|Illinois Fighting Illini
indiana,cfb,Indiana,IND,memorial-stadium-bloomington,54.97,Big Ten,fbs,Indiana|IND|Indiana Hoosiers
iowa,cfb,Iowa,IOWA,kinnick-stadium,51.51,Big Ten,fbs,Iowa|IOWA|Iowa Hawkeyes
iowa-state,cfb,Iowa State,ISU,jack-trice-stadium,51.44,Big 12,fbs,Iowa State|ISU|Iowa State Cyclones
jacksonville-state,cfb,Jacksonville State,JVST,jsu-stadium,63.15,Conference USA,fbs,Jacksonville State|JVST|Jacksonville St|Jacksonville State Gamecocks|Jax State
james-madison,cfb,James Madison,JMU,bridgeforth-stadium,54.52,Sun Belt,fbs,James Madison|JMU|James Madison Dukes
kansas,cfb,Kansas,KU,memorial-stadium-lawrence,57.03,Big 12,fbs,Kansas|KU|Kansas Jayhawks
kansas-state,cfb,Kansas State,KSU,bill-snyder-family-football-stadium,57.76,Big 12,fbs,Kansas State|KSU|Kansas State Wildcats
kennesaw-state,cfb,Kennesaw State,KENN,fifth-third-bank-stadium,61.32,Conference USA,fbs,Kennesaw State|KENN|Kennesaw|Kennesaw St|Kennesaw State Owls
kent-state,cfb,Kent State,KENT,dix-stadium,51.98,Mid-American,fbs,Kent State|KENT|Kent State Golden Flashes
kentucky,cfb,Kentucky,UK,commonwealth-stadium,56.25,SEC,fbs,Kentucky|UK|Kentucky Wildcats
lsu,cfb,LSU,LSU,tiger-stadium,69.12,SEC,fbs,LSU|Louisiana State|LSU Tigers
